departure,arrival,airplane_number,,,,letter,航线,,,,航班,航线,机场
BAV,PEK,HU7126,,BAVPEK,,ZH3169,KMGLJG,,,,ZH3169,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,PVG,FM9438,,BAVPVG,,ZH3131,KMGLJG,,,,ZH3131,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,PVG,HO1232,,BAVPVG,,CZ3451,KMGLJG,,,,CZ3451,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,SHA,HO1058,,BAVSHA,,CZ3487,KMGLJG,,,,CZ3487,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,SHE,CZ6496,,BAVSHE,,JD5165,KMGLJG,,,,JD5165,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,SJW,HU7422,,BAVSJW,,JD5156,KMGLJG,,,,JD5156,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,SZX,DZ6220,,BAVSZX,,8L9809,KMGLJG,,,,8L9809,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,TSN,G52847,,BAVTSN,,8L9805,KMGLJG,,,,8L9805,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,TYN,SC4608,,BAVTYN,,8L9803,KMGLJG,,,,8L9803,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,URC,CZ6495,,BAVURC,,8L9801,KMGLJG,,,,8L9801,KMGLJG,昆明长水国际机场-丽江三义机场
BAV,WUA,JR1548,,BAVWUA,,ZH8229,WUHDQA,,,,ZH8229,WUHDQA,武汉天河国际机场-大庆萨尔图机场
BAV,XIY,MU2190,,BAVXIY,,ZH4985,WUHDQA,,,,ZH4985,WUHDQA,武汉天河国际机场-大庆萨尔图机场
BAV,XMN,SC4608,,BAVXMN,,CA8229,WUHDQA,,,,CA8229,WUHDQA,武汉天河国际机场-大庆萨尔图机场
BFJ,CAN,CZ3942,,BFJCAN,,CA8225,WUHDQA,,,,CA8225,WUHDQA,武汉天河国际机场-大庆萨尔图机场
BFJ,CSX,MF8604,,BFJCSX,,SC8225,WUHDQA,,,,SC8225,WUHDQA,武汉天河国际机场-大庆萨尔图机场
BFJ,CTU,G52649,,BFJCTU,,SC8229,WUHDQA,,,,SC8229,WUHDQA,武汉天河国际机场-大庆萨尔图机场
BFJ,CTU,G52671,,BFJCTU,,KN5606,LHWNAY,,,,KN5606,LHWNAY,兰州中川机场-北京南苑机场
BFJ,HGH,GJ8824,,BFJHGH,,MU3762,LHWNAY,,,,MU3762,LHWNAY,兰州中川机场-北京南苑机场
BFJ,HGH,HO1048,,BFJHGH,,HO1259,BHYLJG,,,,HO1259,BHYLJG,北海福成机场-丽江三义机场
BFJ,KMG,HO1047,,BFJKMG,,MF4172,MXZCSX,,,,MF4172,MXZCSX,梅县机场-长沙黄花国际机场
BFJ,KMG,HO1095,,BFJKMG,,CZ6566,MXZCSX,,,,CZ6566,MXZCSX,梅县机场-长沙黄花国际机场
BFJ,KMG,HO1681,,BFJKMG,,HU7276,TAOCAN,,,,HU7276,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,KWE,G52620,,BFJKWE,,CA3603,TAOCAN,,,,CA3603,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,KWE,G52630,,BFJKWE,,CA3585,TAOCAN,,,,CA3585,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,LJG,GJ8839,,BFJLJG,,CA3836,TAOCAN,,,,CA3836,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,NAY,KN5210,,BFJNAY,,MU5257,TAOCAN,,,,MU5257,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,NKG,HO1682,,BFJNKG,,CZ9337,TAOCAN,,,,CZ9337,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,NNG,GX8816,,BFJNNG,,KY9124,TAOCAN,,,,KY9124,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,SHA,HO1096,,BFJSHA,,MF1368,TAOCAN,,,,MF1368,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,SZX,CZ6474,,BFJSZX,,SC4675,TAOCAN,,,,SC4675,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,WUH,GY7129,,BFJWUH,,SC4711,TAOCAN,,,,SC4711,TAOCAN,青岛流亭国际机场-广州白云国际机场
BFJ,XIY,GJ8840,,BFJXIY,,KY9694,TAOCAN,,,,KY9694,TAOCAN,青岛流亭国际机场-广州白云国际机场
